enhancedWeatherDescription,extendedWeatherType,feelsLikeTemperatureC,feelsLikeTemperatureF,gustSpeedKph,gustSpeedMph,humidity,localDate,precipitationProbabilityInPercent,precipitationProbabilityText,pressure,temperatureC,temperatureF,timeslot,timeslotLength,visibility,weatherType,weatherTypeText,windDescription,windDirection,windDirectionAbbreviation,windDirectionFull,windSpeedKph,windSpeedMph,issueDate,lastUpdated,location_id,location_name
A clear sky and a gentle breeze,0,11,53,30,19,59,2024-07-14,0,Precipitation is not expected,1010,13,55,19:00,1,Good,0,Clear Sky,A gentle breeze from the west,W,W,Westerly,13,8,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
A clear sky and a gentle breeze,0,11,51,32,20,60,2024-07-14,0,Precipitation is not expected,1010,12,54,20:00,1,Good,0,Clear Sky,A gentle breeze from the west,W,W,Westerly,15,9,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
A clear sky and a gentle breeze,0,10,50,33,21,61,2024-07-14,0,Precipitation is not expected,1010,11,53,21:00,1,Good,0,Clear Sky,A gentle breeze from the west north west,WNW,WNW,West North Westerly,16,10,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
A clear sky and a gentle breeze,0,9,49,32,20,63,2024-07-14,0,Precipitation is not expected,1010,11,52,22:00,1,Good,0,Clear Sky,A gentle breeze from the west north west,WNW,WNW,West North Westerly,18,11,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
A clear sky and a gentle breeze,0,8,47,31,19,65,2024-07-14,0,Precipitation is not expected,1009,10,50,23:00,1,Good,0,Clear Sky,A gentle breeze from the west north west,WNW,WNW,West North Westerly,18,11,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
A clear sky and a gentle breeze,0,8,46,30,19,66,2024-07-15,0,Precipitation is not expected,1009,10,50,00:00,1,Good,0,Clear Sky,A gentle breeze from the west north west,WNW,WNW,West North Westerly,19,12,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
A clear sky and a gentle breeze,0,7,45,30,19,67,2024-07-15,0,Precipitation is not expected,1008,9,49,01:00,1,Good,0,Clear Sky,A gentle breeze from the west north west,WNW,WNW,West North Westerly,19,12,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
A clear sky and a gentle breeze,0,7,44,29,18,68,2024-07-15,0,Precipitation is not expected,1008,9,48,02:00,1,Good,0,Clear Sky,A gentle breeze from the west north west,WNW,WNW,West North Westerly,19,12,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
A clear sky and a gentle breeze,0,6,43,29,18,69,2024-07-15,0,Precipitation is not expected,1008,9,47,03:00,1,Good,0,Clear Sky,A gentle breeze from the west north west,WNW,WNW,West North Westerly,19,12,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
A clear sky and a gentle breeze,0,6,43,30,19,69,2024-07-15,0,Precipitation is not expected,1008,9,47,04:00,1,Good,0,Clear Sky,A gentle breeze from the west north west,WNW,WNW,West North Westerly,20,12,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
A clear sky and a moderate breeze,0,5,42,32,20,69,2024-07-15,0,Precipitation is not expected,1008,8,47,05:00,1,Good,0,Clear Sky,A moderate breeze from the west north west,WNW,WNW,West North Westerly,21,13,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
A clear sky and a moderate breeze,0,5,42,33,21,69,2024-07-15,0,Precipitation is not expected,1008,8,47,06:00,1,Good,0,Clear Sky,A moderate breeze from the west north west,WNW,WNW,West North Westerly,21,13,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
Sunny and a moderate breeze,1,5,41,38,23,68,2024-07-15,0,Precipitation is not expected,1008,8,47,07:00,1,Good,1,Sunny,A moderate breeze from the west,W,W,Westerly,22,14,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
Sunny and a moderate breeze,1,6,43,42,26,65,2024-07-15,0,Precipitation is not expected,1008,9,47,08:00,1,Good,1,Sunny,A moderate breeze from the west,W,W,Westerly,23,14,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
Sunny and a moderate breeze,1,7,45,46,28,61,2024-07-15,0,Precipitation is not expected,1008,10,50,09:00,1,Good,1,Sunny,A moderate breeze from the west,W,W,Westerly,25,15,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
Sunny and a moderate breeze,1,9,48,46,28,57,2024-07-15,0,Precipitation is not expected,1008,11,52,10:00,1,Good,1,Sunny,A moderate breeze from the west,W,W,Westerly,25,16,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
Sunny and a moderate breeze,1,11,51,45,28,53,2024-07-15,0,Precipitation is not expected,1008,13,55,11:00,1,Good,1,Sunny,A moderate breeze from the west,W,W,Westerly,26,16,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
Sunny and a moderate breeze,1,12,53,44,28,48,2024-07-15,0,Precipitation is not expected,1007,14,57,12:00,1,Good,1,Sunny,A moderate breeze from the west,W,W,Westerly,25,16,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
Sunny and a moderate breeze,1,12,54,44,27,46,2024-07-15,0,Precipitation is not expected,1006,14,57,13:00,1,Good,1,Sunny,A moderate breeze from the west,W,W,Westerly,24,15,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
Sunny and a moderate breeze,1,13,55,43,27,45,2024-07-15,0,Precipitation is not expected,1005,14,58,14:00,1,Good,1,Sunny,A moderate breeze from the west,W,W,Westerly,24,15,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
Sunny and a moderate breeze,1,12,54,42,26,46,2024-07-15,0,Precipitation is not expected,1005,14,57,15:00,1,Good,1,Sunny,A moderate breeze from the west,W,W,Westerly,25,15,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
Sunny and a moderate breeze,1,11,52,41,26,48,2024-07-15,0,Precipitation is not expected,1005,13,56,16:00,1,Good,1,Sunny,A moderate breeze from the west,W,W,Westerly,22,14,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
Sunny and a gentle breeze,1,11,51,41,25,51,2024-07-15,0,Precipitation is not expected,1005,13,55,17:00,1,Good,1,Sunny,A gentle breeze from the west north west,WNW,WNW,West North Westerly,19,12,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
A clear sky and a gentle breeze,0,10,51,42,26,55,2024-07-15,0,Precipitation is not expected,1006,12,54,18:00,1,Good,0,Clear Sky,A gentle breeze from the west north west,WNW,WNW,West North Westerly,17,11,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
A clear sky and a gentle breeze,0,10,49,43,27,57,2024-07-15,0,Precipitation is not expected,1006,11,53,19:00,1,Good,0,Clear Sky,A gentle breeze from the west north west,WNW,WNW,West North Westerly,17,11,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
A clear sky and a gentle breeze,0,9,49,45,28,59,2024-07-15,0,Precipitation is not expected,1006,11,52,20:00,1,Good,0,Clear Sky,A gentle breeze from the north west,NW,NW,North Westerly,19,12,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
A clear sky and a moderate breeze,0,9,49,47,29,59,2024-07-15,0,Precipitation is not expected,1005,11,52,21:00,1,Good,0,Clear Sky,A moderate breeze from the north west,NW,NW,North Westerly,20,13,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
A clear sky and a moderate breeze,0,9,48,47,29,60,2024-07-15,0,Precipitation is not expected,1005,11,52,22:00,1,Good,0,Clear Sky,A moderate breeze from the north west,NW,NW,North Westerly,22,14,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
A clear sky and a moderate breeze,0,8,47,47,29,61,2024-07-15,0,Precipitation is not expected,1004,11,51,23:00,1,Good,0,Clear Sky,A moderate breeze from the north west,NW,NW,North Westerly,23,14,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
A clear sky and a moderate breeze,0,8,47,48,30,61,2024-07-16,0,Precipitation is not expected,1003,11,51,00:00,1,Good,0,Clear Sky,A moderate breeze from the west north west,WNW,WNW,West North Westerly,24,15,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
A clear sky and a moderate breeze,0,8,47,48,30,61,2024-07-16,0,Precipitation is not expected,1003,11,51,01:00,1,Good,0,Clear Sky,A moderate breeze from the west north west,WNW,WNW,West North Westerly,26,16,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
Partly cloudy and a moderate breeze,2,8,46,47,29,61,2024-07-16,0,Precipitation is not expected,1002,10,51,02:00,1,Good,2,Partly Cloudy,A moderate breeze from the north west,NW,NW,North Westerly,26,16,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
Partly cloudy and a moderate breeze,2,8,47,46,29,61,2024-07-16,0,Precipitation is not expected,1001,10,51,03:00,1,Good,2,Partly Cloudy,A moderate breeze from the north west,NW,NW,North Westerly,25,15,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
Partly cloudy and a moderate breeze,2,8,46,47,29,61,2024-07-16,0,Precipitation is not expected,1001,10,50,04:00,1,Good,2,Partly Cloudy,A moderate breeze from the north west,NW,NW,North Westerly,24,15,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
Partly cloudy and a moderate breeze,2,8,47,47,29,62,2024-07-16,16,Low chance of precipitation,1001,10,51,05:00,1,Good,2,Partly Cloudy,A moderate breeze from the north west,NW,NW,North Westerly,25,15,2024-07-14T07:00:00+10:00,2024-07-14T18:01:56.71+10:00,2147714,Sydney
